Soil_Type,Soil_pH,Soil_Moisture,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Crop_Type,Recommended_Fertilizer
Loamy,7.84,32.85,98,67,110,19.06,33.95,Maize,Zinc Sulphate
Loamy,4.97,30.01,64,31,110,29.33,44.43,Maize,DAP
Loamy,4.68,39.64,77,54,74,33.1,31.26,Maize,Compost
Loamy,6.25,34.56,64,71,83,19.97,33.83,Wheat,NPK
Loamy,7.88,25.17,57,51,69,20.19,31.95,Rice,Urea
Silt,5.55,37.95,70,76,71,23.53,38.76,Sugarcane,DAP
Loamy,6.19,43.47,43,18,69,15.11,82.59,Wheat,Urea
Sandy,4.66,11.33,110,73,107,37.82,47.03,Wheat,Compost
Clay,6.3,33.29,44,24,25,31.16,58.78,Wheat,Urea
Loamy,6.81,12.88,89,39,114,23.01,59.23,Sugarcane,DAP
Loamy,6.78,19.32,68,35,16,13.67,89.72,Wheat,DAP
Silt,5.83,38.03,36,78,86,35.46,51.88,Maize,Urea
Loamy,5.76,53.31,62,31,77,24.51,45.91,Potato,DAP
Loamy,4.93,54.14,101,63,112,33.91,87.79,Tomato,Compost
Loamy,5.97,13.5,82,67,104,11.0,65.55,Wheat,Zinc Sulphate
Silt,4.9,30.96,43,88,83,18.21,47.37,Cotton,Urea
Loamy,7.57,39.15,52,62,21,28.66,47.25,Maize,Urea
Clay,8.37,17.35,36,28,107,24.64,35.18,Rice,Urea
Silt,8.38,48.27,63,43,101,18.85,63.41,Rice,Zinc Sulphate
Clay,7.96,47.21,126,23,14,16.03,73.42,Maize,DAP
Silt,6.9,55.17,118,31,101,19.05,58.48,Tomato,DAP
Loamy,7.3,10.42,48,22,56,32.27,83.07,Potato,Urea
Clay,5.64,20.83,31,73,20,15.51,59.04,Tomato,Urea
Silt,7.02,51.36,119,65,43,27.81,50.78,Rice,MOP
Sandy,6.32,43.53,146,81,88,22.71,45.05,Sugarcane,Compost
Loamy,6.43,54.72,156,51,60,32.89,44.6,Sugarcane,SSP
Silt,7.53,12.86,105,75,14,16.05,48.99,Potato,MOP
Sandy,5.63,39.85,72,72,57,18.1,89.52,Wheat,NPK
Silt,5.77,38.45,80,51,94,21.96,51.65,Potato,NPK
Sandy,8.2,11.78,132,43,40,15.0,61.48,Tomato,Zinc Sulphate
Loamy,4.72,35.68,67,38,49,23.84,46.48,Tomato,DAP
Clay,6.44,40.48,127,35,16,22.48,38.61,Cotton,DAP
Sandy,8.15,19.56,98,32,108,39.7,68.75,Potato,DAP
Silt,6.94,23.67,66,45,94,27.82,62.71,Tomato,DAP
Loamy,6.69,42.02,86,18,49,12.08,34.07,Wheat,DAP
Sandy,5.5,33.42,83,51,78,23.8,82.97,Cotton,NPK
Silt,5.87,52.9,141,76,23,36.36,60.46,Potato,MOP
Silt,7.91,27.12,63,16,107,36.0,50.12,Tomato,DAP
Silt,6.74,23.33,24,32,19,38.85,76.76,Rice,Urea
Sandy,6.56,59.24,113,41,91,36.83,36.73,Maize,DAP
Sandy,4.9,55.56,98,32,90,15.29,58.43,Wheat,DAP
Sandy,4.56,11.45,58,25,111,10.11,62.93,Potato,Urea
Clay,8.35,48.54,121,78,58,28.49,76.51,Sugarcane,Zinc Sulphate
Sandy,6.01,15.52,111,22,105,31.07,52.21,Tomato,DAP
Sandy,6.91,11.37,40,19,26,13.94,81.3,Wheat,Urea
Sandy,4.82,23.68,93,68,95,15.01,71.86,Sugarcane,Compost
Clay,7.23,23.47,47,11,98,38.89,76.26,Maize,Urea
Sandy,8.23,50.97,132,89,60,38.31,88.14,Maize,Zinc Sulphate
Silt,6.8,45.53,47,61,89,14.71,80.69,Maize,Urea
Sandy,5.0,59.08,105,10,71,17.41,50.81,Wheat,DAP
Silt,6.83,45.58,121,79,39,36.76,68.75,Potato,MOP
Silt,7.57,30.91,38,63,64,23.05,82.12,Sugarcane,Urea
Silt,6.13,44.95,82,28,43,33.94,61.51,Rice,DAP
Clay,8.02,59.97,135,37,78,21.88,70.97,Cotton,DAP
Clay,7.09,45.51,57,14,117,32.09,40.34,Maize,Urea
Clay,8.1,48.08,65,85,42,21.9,78.95,Rice,Zinc Sulphate
Sandy,6.99,56.92,111,39,14,36.98,75.45,Wheat,DAP
Silt,5.03,15.68,28,28,113,19.77,83.33,Cotton,Urea
Clay,5.74,45.24,28,51,51,25.69,72.61,Potato,Urea
Clay,5.31,52.54,40,34,12,25.65,82.61,Potato,Urea
Sandy,8.14,57.72,43,44,72,29.47,39.73,Potato,Urea
Clay,7.54,20.55,114,18,47,19.2,78.82,Rice,DAP
Sandy,7.21,35.2,112,48,22,29.28,87.18,Potato,MOP
Loamy,5.7,44.03,59,65,17,14.23,78.93,Potato,Urea
Clay,5.24,22.37,151,47,70,36.81,66.91,Rice,Compost
Loamy,7.53,40.02,150,24,39,14.33,85.59,Potato,DAP
Sandy,6.4,22.88,40,55,59,35.21,35.67,Maize,Urea
Silt,5.4,26.67,27,46,78,30.79,31.01,Rice,Urea
Clay,6.97,32.08,139,69,47,20.23,87.92,Potato,MOP
Sandy,4.66,36.46,129,71,68,19.82,70.98,Rice,Compost
Silt,5.8,32.47,148,40,104,38.98,36.85,Potato,NPK
Silt,6.37,34.66,33,39,11,15.85,50.4,Cotton,Urea
Loamy,5.09,24.93,95,75,66,31.69,74.93,Tomato,Compost
Sandy,8.44,17.95,55,16,16,15.51,75.02,Cotton,Urea
Silt,5.34,12.37,136,39,89,37.16,40.2,Wheat,DAP
Clay,5.02,19.8,64,42,19,32.26,58.21,Maize,MOP
Clay,5.31,39.1,30,47,38,37.98,78.44,Maize,Urea
Loamy,7.58,49.31,86,28,103,36.37,88.01,Tomato,DAP
Silt,6.2,18.46,117,18,93,26.48,67.35,Rice,DAP
Sandy,6.76,15.43,109,41,115,14.57,68.29,Maize,NPK
Clay,4.58,47.46,132,39,43,16.64,58.16,Maize,DAP
Silt,4.64,25.26,109,15,81,16.05,62.34,Tomato,DAP
Silt,6.28,57.57,108,70,107,16.62,35.94,Sugarcane,DAP
Loamy,7.77,45.72,30,46,107,24.29,50.98,Tomato,Urea
Clay,8.04,26.34,99,88,54,36.03,60.44,Tomato,Zinc Sulphate
Clay,4.85,24.48,103,80,109,10.69,46.5,Potato,Compost
Sandy,6.65,36.18,125,87,80,17.15,51.59,Tomato,NPK
Clay,8.15,13.96,135,29,67,27.9,88.27,Rice,DAP
Sandy,6.05,15.88,21,39,87,35.96,30.31,Potato,Urea
Clay,7.82,18.79,73,27,93,18.92,48.16,Sugarcane,DAP
Loamy,5.03,48.74,112,72,110,21.48,65.04,Wheat,Compost
Clay,8.24,35.69,26,70,42,21.2,46.74,Tomato,Urea
Sandy,7.51,10.53,59,66,104,18.81,70.59,Cotton,Urea
Sandy,8.27,43.68,64,31,106,30.96,47.96,Maize,DAP
Loamy,7.21,31.18,151,58,99,29.67,68.29,Maize,NPK
Clay,5.95,35.54,126,27,99,35.3,80.99,Tomato,DAP
Clay,8.25,20.71,53,70,60,37.53,69.52,Sugarcane,Urea
Loamy,5.6,37.59,27,87,73,37.01,32.99,Tomato,Urea
Clay,5.83,58.96,51,77,47,26.2,77.71,Potato,Urea
Clay,7.3,13.67,94,16,89,15.57,42.77,Maize,DAP
Sandy,7.56,24.2,56,16,21,16.66,68.09,Cotton,Urea
Clay,8.22,22.15,55,74,72,27.71,68.8,Rice,Urea
Clay,5.32,22.43,29,49,74,37.55,78.22,Sugarcane,Urea
Loamy,7.69,28.94,89,33,69,25.91,60.35,Maize,DAP
Loamy,7.45,50.91,137,41,117,38.07,52.56,Cotton,Compost
Silt,4.76,55.64,114,19,29,17.87,61.08,Maize,DAP
Sandy,6.05,20.11,91,18,75,12.59,62.75,Maize,DAP
Clay,5.63,37.15,142,48,104,33.89,79.29,Rice,NPK
Clay,5.72,41.84,80,12,27,36.38,42.3,Sugarcane,DAP
Silt,8.43,36.09,55,78,51,23.44,80.81,Potato,Urea
Clay,7.07,31.7,57,16,83,13.07,51.94,Tomato,Urea
Sandy,7.37,19.6,123,21,15,11.27,74.63,Sugarcane,DAP
Silt,8.41,34.41,111,32,75,11.88,50.14,Cotton,DAP
Sandy,6.01,30.06,25,72,89,23.17,72.53,Tomato,Urea
Silt,7.71,49.78,152,26,78,17.04,77.95,Tomato,DAP
Silt,6.24,48.18,111,87,111,23.86,63.48,Potato,Zinc Sulphate
Loamy,7.98,16.7,20,73,95,24.65,67.17,Potato,Urea
Sandy,5.22,14.43,33,74,31,23.74,72.47,Sugarcane,Urea
Clay,8.29,55.41,102,37,31,28.6,71.31,Wheat,DAP
Clay,5.38,36.78,50,67,74,30.38,73.64,Rice,Urea
Sandy,5.8,52.89,140,27,109,21.88,80.98,Maize,DAP
Clay,7.52,12.91,98,53,58,20.11,43.23,Sugarcane,Urea
Clay,6.08,36.33,121,73,86,21.05,42.88,Wheat,NPK
Sandy,6.93,36.97,51,46,21,12.11,88.24,Sugarcane,Urea
Silt,6.28,53.04,76,12,72,19.65,81.08,Tomato,DAP
Sandy,7.47,14.88,50,23,22,16.0,65.5,Tomato,Urea
Silt,5.41,22.02,77,16,71,18.73,30.49,Maize,DAP
Clay,4.73,30.33,67,26,68,31.43,81.29,Sugarcane,DAP
Clay,5.7,53.29,142,79,20,39.66,75.1,Maize,MOP
Clay,6.4,56.94,60,88,91,37.71,87.38,Potato,Zinc Sulphate
Loamy,5.17,59.64,140,48,95,34.65,30.79,Cotton,Compost
Silt,5.92,57.96,80,14,10,32.12,31.71,Sugarcane,DAP
Loamy,6.1,10.3,151,88,77,38.35,61.05,Rice,Zinc Sulphate
Loamy,4.73,12.39,139,61,18,32.56,81.36,Maize,MOP
Sandy,6.83,17.38,115,35,12,24.13,89.48,Potato,DAP
Loamy,8.04,27.44,131,48,81,28.04,49.2,Rice,Zinc Sulphate
Sandy,5.11,51.5,60,54,18,19.17,32.18,Cotton,MOP
Sandy,6.89,54.63,45,86,91,10.1,41.73,Rice,Urea
Loamy,7.16,19.34,38,40,78,20.61,82.62,Rice,Urea
Silt,6.18,40.98,106,86,31,22.14,57.99,Tomato,MOP
Silt,7.3,55.87,44,32,110,31.99,81.2,Cotton,Urea
Silt,6.14,33.19,66,49,78,35.78,56.63,Potato,NPK
Silt,6.52,15.18,27,41,32,38.88,33.2,Sugarcane,Urea
Silt,4.53,32.89,22,13,89,20.55,67.05,Cotton,Urea
Loamy,7.27,28.79,52,55,14,38.72,56.14,Wheat,Urea
Loamy,7.15,38.88,131,84,110,33.98,59.48,Maize,NPK
Clay,4.65,31.93,41,51,117,10.93,86.94,Tomato,Urea
Silt,5.97,10.87,118,48,48,27.86,57.42,Potato,MOP
Loamy,8.42,59.7,117,79,12,20.97,77.79,Potato,MOP
Clay,6.18,37.18,49,65,35,11.02,33.53,Maize,Urea
Silt,6.51,33.68,66,56,17,25.95,58.74,Potato,MOP
Sandy,8.14,57.73,78,47,94,27.54,65.2,Potato,Zinc Sulphate
Clay,7.37,17.79,33,27,61,17.57,36.79,Sugarcane,Urea
Loamy,6.83,19.46,92,11,91,38.2,48.13,Potato,DAP
Sandy,7.69,50.4,124,63,78,28.31,74.38,Cotton,SSP
Sandy,7.96,23.04,33,39,15,15.28,41.03,Tomato,Urea
Sandy,6.33,49.96,68,13,36,31.64,37.71,Maize,DAP
Clay,6.4,23.58,22,16,95,24.97,47.96,Maize,Urea
Loamy,6.04,11.66,42,88,31,24.2,81.54,Potato,Urea
Sandy,8.37,35.85,128,66,111,35.04,75.78,Potato,Zinc Sulphate
Silt,7.29,19.83,62,39,65,14.15,76.61,Rice,DAP
Sandy,4.83,47.89,90,53,111,24.73,49.35,Cotton,Compost
Sandy,7.95,42.06,74,86,52,33.42,35.94,Rice,Zinc Sulphate
Clay,6.42,56.18,145,38,36,29.81,31.92,Wheat,DAP
Clay,4.78,49.15,101,45,54,10.16,65.17,Wheat,Compost
Loamy,6.7,19.04,60,57,55,33.62,72.14,Wheat,NPK
Silt,6.17,50.01,150,28,42,38.34,52.67,Sugarcane,DAP
Clay,8.01,42.09,22,72,115,31.14,61.73,Tomato,Urea
Sandy,5.32,43.45,119,11,104,36.28,46.74,Tomato,DAP
Loamy,7.81,51.61,42,23,37,20.82,51.86,Cotton,Urea
Sandy,6.73,38.69,146,89,103,20.52,73.79,Sugarcane,Zinc Sulphate
Sandy,4.72,33.3,77,44,107,19.63,73.09,Wheat,Compost
Clay,8.39,41.83,137,30,118,32.05,31.69,Potato,DAP
Loamy,6.55,24.9,136,26,90,38.26,86.65,Sugarcane,DAP
Silt,5.66,19.13,101,41,60,36.56,46.14,Maize,MOP
Silt,6.38,40.83,121,32,73,14.51,84.46,Sugarcane,DAP
Clay,7.93,21.69,153,15,44,28.78,60.71,Tomato,DAP
Clay,5.72,14.0,127,38,45,39.88,59.95,Cotton,DAP
Loamy,5.27,10.03,65,72,15,18.86,57.04,Rice,MOP
Silt,5.02,40.42,25,79,118,29.04,85.35,Cotton,Urea
Silt,5.69,28.11,142,13,102,37.2,42.49,Rice,DAP
Silt,7.62,47.62,111,67,67,36.99,66.7,Tomato,NPK
Sandy,6.39,28.76,38,40,32,19.64,49.07,Potato,Urea
Silt,5.41,34.3,33,31,23,12.82,84.91,Sugarcane,Urea
Sandy,5.16,30.35,84,36,82,29.38,40.16,Sugarcane,DAP
Loamy,5.83,42.53,115,25,65,38.41,70.57,Cotton,DAP
Sandy,8.26,27.81,65,15,88,25.24,55.31,Potato,DAP
Loamy,5.87,58.19,35,89,111,23.73,69.67,Tomato,Urea
Silt,8.45,56.81,127,16,34,35.92,39.46,Rice,DAP
Silt,6.44,52.4,158,23,29,22.74,53.62,Wheat,DAP
Loamy,5.22,56.02,37,12,116,30.43,36.44,Potato,Urea
Clay,8.06,32.46,127,58,95,21.66,88.13,Wheat,Zinc Sulphate
Loamy,6.34,36.82,88,45,80,21.31,42.84,Tomato,SSP
Clay,7.34,47.1,139,38,27,15.63,89.59,Sugarcane,DAP
Sandy,8.43,44.81,107,13,26,12.65,55.11,Sugarcane,DAP
Sandy,4.7,54.53,109,49,23,36.55,34.29,Potato,MOP
Sandy,4.89,45.82,35,50,35,15.44,31.05,Potato,Urea
Silt,7.38,59.89,121,31,113,11.87,65.94,Potato,DAP
Sandy,5.63,27.43,153,88,41,27.47,66.88,Maize,Compost
Clay,5.24,51.65,144,13,102,26.38,61.49,Sugarcane,DAP
Sandy,4.66,44.88,139,32,113,27.03,33.98,Potato,DAP
Loamy,4.59,44.57,95,13,68,24.04,49.89,Sugarcane,DAP
Loamy,7.6,26.29,92,77,80,14.26,51.54,Maize,Zinc Sulphate
Silt,5.04,49.28,60,27,66,10.63,72.29,Maize,DAP
Loamy,6.37,55.02,125,10,82,11.39,55.13,Cotton,DAP
Clay,6.92,20.93,140,41,21,38.29,64.38,Potato,MOP
Sandy,6.21,41.27,108,30,12,25.96,47.18,Sugarcane,DAP
Silt,4.61,29.61,137,47,41,21.99,73.56,Wheat,Compost
Sandy,7.63,59.48,85,35,106,22.32,32.81,Sugarcane,DAP
Sandy,4.54,33.94,65,50,24,29.57,89.31,Sugarcane,MOP
Clay,7.55,21.42,127,58,18,21.3,68.49,Potato,MOP
Loamy,8.07,29.09,23,50,58,33.89,38.93,Tomato,Urea
Loamy,6.23,42.69,157,68,53,17.8,73.05,Rice,DAP
Sandy,6.64,13.8,114,13,90,21.02,77.19,Rice,DAP
Silt,6.41,40.18,125,22,37,38.05,77.32,Cotton,DAP
Loamy,6.06,56.56,99,70,54,17.81,46.24,Wheat,NPK
Silt,8.05,52.52,70,60,22,29.85,87.52,Rice,MOP
Loamy,8.08,13.38,153,44,56,20.94,31.06,Potato,Zinc Sulphate
Silt,5.84,59.67,140,74,30,24.14,52.79,Potato,MOP
Clay,6.96,44.94,23,58,59,11.36,36.25,Tomato,Urea
Silt,8.21,18.11,110,58,56,15.02,53.09,Wheat,Zinc Sulphate
Clay,8.35,10.62,73,23,14,13.06,33.43,Maize,DAP
Clay,6.54,18.56,22,46,16,35.34,68.7,Sugarcane,Urea
Silt,6.31,51.91,49,39,47,38.85,33.75,Cotton,Urea
Clay,5.61,11.08,95,23,46,12.04,66.95,Wheat,DAP
Sandy,8.34,21.66,60,84,92,12.31,44.05,Potato,Zinc Sulphate
Clay,5.07,47.87,125,36,114,26.57,40.75,Rice,DAP
Loamy,6.82,39.31,78,71,41,25.12,50.82,Sugarcane,DAP
Silt,5.63,49.14,59,12,65,29.52,68.46,Sugarcane,Urea
Sandy,5.62,47.31,64,79,52,32.1,64.69,Sugarcane,Compost
Silt,6.12,12.53,34,48,76,33.92,70.83,Potato,Urea
Loamy,8.5,54.63,36,28,112,14.47,85.14,Tomato,Urea
Loamy,4.72,21.35,127,85,108,11.14,42.2,Cotton,Compost
Loamy,6.81,37.67,44,48,36,36.67,54.8,Tomato,Urea
Clay,4.83,42.21,62,19,111,24.09,45.95,Maize,DAP
Clay,5.12,18.43,80,56,60,39.14,65.18,Sugarcane,Compost
Silt,6.26,58.81,150,32,57,25.98,47.0,Sugarcane,DAP
Silt,6.54,34.41,47,68,81,25.3,63.48,Sugarcane,Urea
Sandy,5.54,12.88,126,29,62,28.69,79.39,Maize,DAP
Sandy,5.77,56.86,143,54,92,15.1,63.06,Rice,Zinc Sulphate
Silt,4.85,39.31,103,53,103,17.62,80.29,Potato,Compost
Clay,5.71,44.96,46,27,57,37.17,66.68,Tomato,Urea
Loamy,8.37,36.26,102,57,113,16.37,82.22,Wheat,Zinc Sulphate
Silt,8.28,51.74,119,84,19,16.99,85.83,Sugarcane,MOP
Sandy,5.84,11.66,95,10,103,25.3,60.47,Sugarcane,DAP
Clay,6.78,23.42,54,41,18,29.23,77.44,Rice,Urea
Silt,8.14,33.48,116,73,95,10.03,58.13,Maize,Zinc Sulphate
Silt,4.52,13.83,119,16,104,23.7,72.31,Potato,DAP
Clay,7.74,45.3,32,80,55,21.97,32.25,Potato,Urea
Silt,8.29,29.68,25,55,19,35.97,88.01,Tomato,Urea
Clay,4.87,23.63,93,33,45,35.19,83.66,Maize,DAP
Loamy,5.15,10.17,29,78,19,37.18,83.6,Wheat,Urea
Clay,8.34,45.99,40,45,36,35.26,46.88,Tomato,Urea
Clay,6.65,51.69,146,76,88,33.6,46.99,Maize,MOP
Clay,4.56,29.75,75,59,28,35.77,54.16,Maize,MOP
Silt,5.53,38.21,76,68,20,15.24,82.81,Rice,MOP
Silt,6.3,21.38,149,67,41,20.23,81.52,Rice,NPK
Clay,7.27,41.11,58,55,29,30.51,47.37,Rice,Urea
Silt,7.43,10.61,80,79,55,37.69,62.51,Wheat,SSP
Sandy,8.48,34.43,129,32,69,30.01,58.51,Maize,DAP
Sandy,5.65,42.21,33,21,88,16.24,69.04,Rice,Urea
Silt,6.65,55.91,78,37,77,38.34,42.83,Cotton,DAP
Silt,6.63,29.07,128,67,26,32.81,35.1,Potato,MOP
Clay,6.12,48.26,60,70,74,31.5,31.64,Sugarcane,MOP
Loamy,5.18,39.88,159,64,66,32.88,52.89,Cotton,Compost
Silt,8.41,56.35,144,43,28,29.77,86.8,Wheat,MOP
Sandy,7.91,29.92,55,27,14,10.66,71.09,Maize,Urea
Clay,6.49,25.95,40,44,91,17.61,74.95,Maize,Urea
Silt,6.91,54.36,75,57,90,38.7,86.71,Tomato,MOP
Sandy,5.41,12.46,60,46,64,18.66,55.32,Sugarcane,Compost
Sandy,6.68,16.82,146,50,115,33.15,58.46,Wheat,Urea
Loamy,7.28,14.12,125,15,114,22.73,51.57,Tomato,DAP
Clay,6.56,52.16,105,89,13,37.23,40.88,Potato,MOP
Clay,8.46,10.53,57,48,61,26.73,75.98,Wheat,Urea
Loamy,6.95,53.08,27,13,28,28.96,84.4,Cotton,Urea
Loamy,5.98,32.56,125,25,40,17.19,78.83,Wheat,DAP
Clay,7.59,10.2,127,61,12,11.73,32.86,Maize,MOP
Clay,5.18,30.08,149,28,76,32.7,47.95,Maize,DAP
Silt,6.04,19.34,83,26,38,12.03,65.53,Tomato,DAP
Silt,5.89,41.22,63,54,62,31.65,49.63,Maize,DAP
Loamy,6.23,43.97,120,11,17,26.66,39.01,Maize,DAP
Silt,7.63,34.38,125,11,14,34.6,62.3,Cotton,DAP
Sandy,6.44,12.03,84,64,73,16.17,61.29,Maize,Compost
Silt,7.68,42.81,84,13,104,26.25,72.59,Maize,DAP
Silt,6.81,52.1,137,21,36,28.43,89.99,Tomato,DAP
Sandy,5.87,46.02,143,63,42,12.23,68.89,Sugarcane,MOP
Loamy,7.74,51.5,127,69,67,32.17,49.01,Cotton,Urea
Sandy,5.45,20.03,114,38,71,21.67,87.38,Cotton,DAP
Silt,5.4,54.44,155,70,91,13.87,64.28,Wheat,Compost
Loamy,6.52,26.11,86,55,97,21.61,68.74,Wheat,SSP
Silt,5.54,10.67,130,58,35,12.95,51.45,Rice,MOP
Sandy,4.54,52.17,95,27,104,36.64,57.11,Maize,DAP
Sandy,7.09,57.09,68,85,23,23.7,55.12,Maize,MOP
Silt,6.54,42.78,26,83,98,14.14,86.17,Sugarcane,Urea
